lr-Adam/geometry,lr-Adam/variance,lr-Adam/albedo,lr-Adam/ambient,lr-Adam/blur,step,train/loss_rgb_mse_cam,train/loss_rgb_mse_proj,train/loss_rgb_l1_cam,train/loss_rgb_l1_proj,train/loss_eikonal,train/loss_mask,train/loss_sparsity,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_sparsity,train/num_rays,epoch,val/psnr,test/psnr
,,,,,1099,0.0002893941127695143,8.116002572933212e-05,0.005707459524273872,0.00339312432333827,0.13119156658649445,0.013144097290933132,0.8058533072471619,52.44017028808594,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,1135.0,0,,
0.0006835561539133219,0.0006835561539133219,0.006835561539133232,0.006835561539133232,0.006835561539133232,1149,,,,,,,,,,,,,,,,,
,,,,,1149,0.00022950413404032588,7.391712279058993e-05,0.005476434249430895,0.003163617569953203,0.11895027756690979,0.01440803986042738,0.807239830493927,63.38465881347656,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,1179.0,0,,
0.0006753222202466175,0.0006753222202466175,0.006753222202466188,0.006753222202466188,0.006753222202466188,1199,,,,,,,,,,,,,,,,,
,,,,,1199,0.00015643956430722028,7.763549365336075e-05,0.00437932088971138,0.0030868384055793285,0.10411129891872406,0.014257536269724369,0.8131899237632751,76.4377212524414,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,1226.0,0,,
0.0006671874703312985,0.0006671874703312985,0.006671874703312997,0.006671874703312997,0.006671874703312997,1249,,,,,,,,,,,,,,,,,
,,,,,1249,0.00015468221681658179,6.41445949440822e-05,0.004384094383567572,0.0025014833081513643,0.09116894006729126,0.009234230034053326,0.8164933919906616,92.24850463867188,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,1289.0,0,,
0.0006591507094265594,0.0006591507094265594,0.006591507094265607,0.006591507094265607,0.006591507094265607,1299,,,,,,,,,,,,,,,,,
,,,,,1299,0.00011665930651361123,7.154126797104254e-05,0.003552414244040847,0.0027236181776970625,0.07871188223361969,0.00972919724881649,0.8223068118095398,110.3682632446289,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,1348.0,0,,
0.0006512107571831221,0.0006512107571831221,0.006512107571831233,0.006512107571831233,0.006512107571831233,1349,,,,,,,,,,,,,,,,,
,,,,,1349,0.0001556033967062831,6.755298090865836e-05,0.003995274659246206,0.0028011684771627188,0.06782299280166626,0.01066664233803749,0.8245952129364014,128.67947387695312,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,1430.0,0,,
0.0006433664474698782,0.0006433664474698782,0.006433664474698794,0.006433664474698794,0.006433664474698794,1399,,,,,,,,,,,,,,,,,
,,,,,1399,8.17444160929881e-05,6.73597096465528e-05,0.0030611713882535696,0.0025947915855795145,0.06040726229548454,0.005688609555363655,0.8302165865898132,148.26129150390625,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,1507.0,0,,
0.0006356166282026204,0.0006356166282026204,0.006356166282026213,0.006356166282026213,0.006356166282026213,1449,,,,,,,,,,,,,,,,,
,,,,,1449,9.628236148273572e-05,5.655216591549106e-05,0.003141420893371105,0.002383802318945527,0.052981022745370865,0.008734450675547123,0.8350238800048828,165.2662353515625,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,1595.0,0,,
0.0006279601611748387,0.0006279601611748387,0.006279601611748394,0.006279601611748394,0.006279601611748394,1499,,,,,,,,,,,,,,,,,
,,,,,1499,0.00010836713045137003,4.802966577699408e-05,0.0034357160329818726,0.0020546691957861185,0.048485465347766876,0.010450390167534351,0.8335330486297607,180.8805389404297,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,1676.0,0,,
0.0006203959218905527,0.0006203959218905527,0.006203959218905532,0.006203959218905532,0.006203959218905532,1549,,,,,,,,,,,,,,,,,
,,,,,1549,7.391743565676734e-05,4.033733421238139e-05,0.0028167760465294123,0.001882739132270217,0.042630814015865326,0.005427377298474312,0.8382391929626465,195.97349548339844,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,1788.0,0,,
0.0006129227993991581,0.0006129227993991581,0.0061292279939915905,0.0061292279939915905,0.0061292279939915905,1599,,,,,,,,,,,,,,,,,
,,,,,1599,9.575667354511097e-05,6.644952372880653e-05,0.00300006871111691,0.0024414064828306437,0.040287185460329056,0.0046892790123820305,0.845628559589386,209.0410614013672,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,1877.0,0,,
0.0006055396961322632,0.0006055396961322632,0.006055396961322643,0.006055396961322643,0.006055396961322643,1649,,,,,,,,,,,,,,,,,
,,,,,1649,7.976486813277006e-05,4.2758911149576306e-05,0.0027960469014942646,0.0020758069586008787,0.038383688777685165,0.006999683566391468,0.8550266623497009,222.2865753173828,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,2017.0,0,,
0.0005982455277424899,0.0005982455277424899,0.005982455277424912,0.005982455277424912,0.005982455277424912,1699,,,,,,,,,,,,,,,,,
,,,,,1699,8.076825179159641e-05,3.77386822947301e-05,0.002745224628597498,0.001855111913755536,0.03434232622385025,0.005427273456007242,0.8525915741920471,235.77145385742188,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,2158.0,0,,
0.0005910392229442175,0.0005910392229442175,0.005910392229442185,0.005910392229442185,0.005910392229442185,1749,,,,,,,,,,,,,,,,,
,,,,,1749,7.335453847190365e-05,4.6536046284018084e-05,0.0026087439619004726,0.0019510079873725772,0.032720014452934265,0.005103106610476971,0.8572251796722412,250.37522888183594,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,2300.0,0,,
0.0005839197233562431,0.0005839197233562431,0.005839197233562444,0.005839197233562444,0.005839197233562444,1799,,,,,,,,,,,,,,,,,
,,,,,1799,8.310432167490944e-05,3.639959322754294e-05,0.0027949721552431583,0.0019328775815665722,0.03149637579917908,0.0070937941782176495,0.8661349415779114,267.65753173828125,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,2461.0,0,,
0.0005768859833463395,0.0005768859833463395,0.005768859833463411,0.005768859833463411,0.005768859833463411,1849,,,,,,,,,,,,,,,,,
,,,,,1849,6.506100908154622e-05,3.9270249544642866e-05,0.002506549935787916,0.001930366619490087,0.03043011575937271,0.005681999493390322,0.8718879818916321,280.91925048828125,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,2681.0,0,,
